ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
454;363;452;Thomas Kirk Kristiansen;6,4;45;2024-05-31
455;418;455;Alexander Abramov;6,4;65;2024-05-31
456;909;456;Samir Mehta;6,4;60;2024-05-31
457;910;457;Sudhir Mehta;6,4;70;2024-05-31
458;456;458;Teddy Sagi;6,4;52;2024-05-31
459;2639;459;You Xiaoping;6,4;66;2024-05-31
460;222;460;Pierre Omidyar;6,4;56;2024-05-31
461;448;461;Maria Angelicoussis;6,4;42;2024-05-31
462;401;462;Alain Merieux  ;6,4;86;2024-05-31
463;437;463;Patrick Soon-Shiong;6,4;71;2024-05-31
464;395;464;Dmitry Rybolovlev;6,4;57;2024-05-31
465;499;465;Gary Rollins;6,4;79;2024-05-31
466;436;466;Niels Peter Louis-Hansen;6,4;76;2024-05-31
467;454;467;Karen Pritzker;6,4;66;2024-05-31
468;469;468;Wolfgang Marguerre  ;6,3;82;2024-05-31
469;785;469;Vyacheslav Kim;6,3;54;2024-05-31
470;249;470;Wang Jianlin;6,3;69;2024-05-31
471;415;471;Michael Kadoorie;6,3;82;2024-05-31
472;461;472;Pierre Chen;6,3;67;2024-05-31
473;1636;473;Robert Duggan;6,3;80;2024-05-31
474;682;474;Kerry Stokes;6,3;83;2024-05-31
475;404;475;Maria Asuncion Aramburuzabala  ;6,3;61;2024-05-31
476;403;476;Stef Wertheimer  ;6,3;97;2024-05-31
477;383;477;David Bonderman;6,2;81;2024-05-31
478;285;478;Cao Renxian;6,2;55;2024-05-31
479;826;479;Vivek Chaand Sehgal;6,2;67;2024-05-31
480;556;480;Kelcy Warren;6,2;68;2024-05-31
