"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Alice Walton",21,"female","USA","65.10","70.80","72.30","71.50","77.60","79.40","81.20","89.20","91.20","92.30","101.90","99.90"
"David Thomson",22,"male","Canada","62.80","64.90","67.50","66.00","72.60","71.50","69.40","72.30","72.10","69.90","69.50","69.00"
"Michael Dell",23,"male","USA","73.20","76.30","90.50","93.90","100.00","105.20","96.30","101.30","104.30","105.00","105.30","116.20"
"Gautam Adani",24,"male","India","79.50","83.60","81.00","81.10","90.20","84.90","87.60","81.90","83.80","76.20","66.00","62.50"
"Phil Knight",25,"male","USA","40.50","42.40","39.30","38.80","39.70","33.70","34.20","36.80","38.30","34.90","35.40","34.50"
"Zhang Yiming",26,"male","China","43.40","43.40","43.40","43.40","43.40","43.40","43.40","43.40","45.60","45.00","45.60","45.60"
"Dieter Schwarz",27,"male","Germany","46.10","38.70","37.40","36.30","39.50","34.50","36.50","37.40","37.70","36.70","30.30","29.30"
"Francois Pinault",28,"male","France","29.00","31.90","28.40","26.20","26.00","26.70","24.00","22.80","22.80","20.80","20.00","20.60"
"Klaus-Michael Kuehne",29,"male","Switzerland","33.40","43.10","39.10","40.00","41.20","41.30","42.30","42.20","41.20","38.80","37.20","36.10"
"Giovanni Ferrero",30,"male","Italy","39.40","39.40","43.20","42.90","43.40","42.90","43.20","44.30","44.70","43.50","42.30","41.50"
"Jacqueline Mars",31,"female","USA","39.80","38.60","38.50","39.20","38.40","37.80","38.70","47.60","47.60","47.60","45.80","43.10"
"John Mars",32,"male","USA","39.80","38.60","38.50","39.20","38.40","37.80","38.70","47.60","47.60","47.60","45.80","43.10"
"Li Ka-shing",33,"male","China","36.20","37.00","36.60","36.90","36.60","35.70","36.30","36.60","36.90","35.80","35.70","35.70"
"Ma Huateng",34,"male","China","30.80","30.70","33.40","37.50","38.70","39.80","38.90","40.90","47.90","44.40","43.50","45.10"
"Miriam Adelson",35,"female","USA","33.50","36.20","32.10","29.50","29.80","29.50","27.90","27.70","34.20","34.70","35.20","34.60"
"Ken Griffin",36,"male","USA","37.10","38.30","36.40","36.80","37.20","37.10","38.00","38.40","43.00","43.00","47.30","45.70"
"Mark Mateschitz",37,"male","Austria","39.30","39.20","39.10","38.80","39.20","38.70","39.10","40.00","40.40","39.00","38.20","37.60"
"Robin Zeng",38,"male","China","21.20","23.70","27.40","29.10","28.40","25.80","26.70","27.00","37.90","36.40","38.00","38.40"
"Tadashi Yanai",39,"male","Japan","39.00","41.60","44.80","38.60","37.30","36.70","39.00","45.80","48.20","45.80","47.80","48.10"
"Len Blavatnik",40,"male","UK","32.00","32.50","31.90","31.50","30.40","30.40","30.40","29.30","30.20","29.80","29.80","28.40"
"Alain Wertheimer",41,"male","USA","36.50","38.20","36.80","36.10","37.40","38.10","38.30","41.20","41.30","41.20","42.40","41.40"
"Gerard Wertheimer",42,"male","USA","36.50","38.20","36.80","36.10","37.40","38.10","38.30","41.20","41.30","41.20","42.40","41.40"
"Gianluigi Aponte",43,"male","Switzerland","30.40","29.70","33.10","34.20","36.00","35.80","35.40","34.80","34.90","34.80","32.70","32.40"
"Rafaela Aponte-Diamant",44,"female","Switzerland","30.40","29.70","33.10","34.20","36.00","35.80","35.40","34.80","34.90","34.80","32.70","32.40"
"Colin Huang",45,"male","China","43.90","43.90","41.00","44.10","52.80","46.90","45.40","33.90","47.50","42.50","34.00","34.20"
"Reinhold Wuerth",46,"male","Germany","28.50","33.60","33.10","34.80","34.20","32.40","35.00","37.30","37.70","36.60","37.40","34.70"
"Lee Shau Kee",47,"male","China","27.00","27.80","27.70","28.40","28.60","27.10","27.60","28.70","28.90","29.10","28.70","28.40"
"Jeff Yass",48,"male","USA","28.90","28.90","27.60","27.60","27.60","27.60","28.50","28.50","49.60","49.60","49.60","49.60"
"Jim Simons",49,"male","USA","30.70","30.70","31.40","31.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Schwarzman",50,"male","USA","37.30","38.10","40.00","36.60","37.60","38.40","42.80","43.60","46.20","49.60","55.20","50.80"
"Susanne Klatten",51,"female","Germany","23.70","26.50","26.10","25.30","24.40","23.40","23.30","23.70","23.30","21.70","20.50","21.20"
"Gina Rinehart",52,"female","Australia","30.60","30.10","30.30","30.40","30.80","30.90","30.30","31.50","32.20","30.50","30.10","30.00"
"William Ding",53,"male","China","31.50","34.10","32.80","29.90","28.60","30.50","29.50","26.80","30.60","26.80","28.80","29.40"
"German Larrea Mota Velasco",54,"male","Mexico","28.80","27.00","32.10","33.40","33.30","29.10","30.20","27.50","30.00","27.90","25.80","26.20"
"Shiv Nadar",55,"male","India","35.50","37.10","34.80","31.30","30.40","33.10","36.60","38.70","40.10","39.20","40.70","41.50"
"Low Tuck Kwong",56,"male","Indonesia","27.50","27.30","26.40","25.80","24.50","21.60","23.30","24.00","24.20","24.30","27.70","28.20"
"Thomas Peterffy",57,"male","USA","30.20","34.20","35.00","36.00","38.80","38.00","37.10","40.00","42.90","46.50","57.00","53.20"
"Andrey Melnichenko",58,"male","Russia","25.00","24.90","21.10","19.10","18.70","18.90","18.30","18.20","18.20","18.20","17.80","16.80"
"Stefan Quandt",59,"male","Germany","24.80","27.40","26.90","25.90","24.70","23.60","23.40","23.60","23.00","21.20","20.30","21.30"
"MacKenzie Scott",60,"female","USA","34.80","35.80","36.60","32.70","32.90","36.00","34.90","33.30","34.80","34.80","29.40","31.20"
"R. Budi Hartono",61,"male","Indonesia","25.90","25.80","25.90","24.50","23.10","24.40","25.30","26.90","27.60","26.20","25.10","24.00"
"Vladimir Potanin",62,"male","Russia","22.30","23.70","23.70","23.70","23.70","23.70","23.70","24.40","23.70","23.70","23.70","23.70"
"Jack Ma",63,"male","China","24.40","24.60","24.40","24.60","25.00","24.40","25.00","25.40","25.50","24.80","23.80","23.60"
"He Xiangjian",64,"male","China","22.80","24.10","24.50","26.10","24.50","24.60","24.50","25.30","29.30","27.40","26.60","27.90"
"Zhang Hejun",325,"male","China","2.70","3.20","3.50","3.60","3.60","4.00","5.20","4.90","5.70","5.20","4.70","4.60"
"Iris Fontbona",65,"female","Chile","25.10","25.70","27.70","29.00","29.30","28.00","27.70","26.80","28.60","25.30","24.60","23.60"
"Michael Hartono",66,"male","Indonesia","24.80","24.80","24.90","23.60","22.20","23.40","24.30","25.90","26.50","25.20","24.10","23.10"
"James Ratcliffe",67,"male","UK","20.70","16.30","16.30","16.20","16.40","16.20","16.30","16.70","16.80","16.40","16.00","15.70"
"Cyrus Poonawalla",68,"male","India","25.10","21.80","21.30","21.10","21.20","21.10","22.80","25.00","24.50","24.30","21.40","21.90"
"Masayoshi Son",69,"male","Japan","24.00","28.10","31.20","27.10","30.30","33.40","31.10","30.70","32.10","32.00","31.10","30.60"
"Vladimir Lisin",70,"male","Russia","26.00","26.00","26.60","26.60","26.60","26.60","26.60","27.30","26.60","26.60","26.60","26.60"
"Emmanuel Besnier",71,"male","France","25.50","25.10","25.20","24.30","24.80","23.50","24.50","26.20","26.50","25.70","24.60","23.20"
"Abigail Johnson",72,"female","USA","28.40","29.50","29.00","28.60","29.30","29.40","31.30","31.30","31.30","31.30","37.60","36.10"
"Leonid Mikhelson",73,"male","Russia","29.00","29.00","27.40","27.40","27.40","27.40","27.40","28.50","27.40","27.40","27.40","29.10"
"Lukas Walton",74,"male","USA","24.70","27.50","28.00","27.80","30.20","30.60","31.30","33.90","35.10","35.20","38.40","37.70"
"Wang Wei",75,"male","China","12.80","14.10","13.50","13.40","13.60","13.20","13.00","13.70","17.70","17.30","15.90","15.50"
"Jensen Huang",76,"male","USA","58.60","69.90","79.40","76.00","96.10","108.20","102.60","104.40","106.20","115.90","120.70","118.30"
"Leonard Lauder",77,"male","USA","14.00","15.10","15.50","14.90","13.20","12.00","11.50","11.50","12.00","9.00","10.00","10.20"
"Takemitsu Takizaki",78,"male","Japan","21.20","21.70","21.50","21.00","21.10","20.60","20.00","22.40","22.90","21.30","20.20","19.50"
"Alexey Mordashov",79,"male","Russia","21.00","22.90","25.50","25.40","25.40","25.40","25.50","26.30","25.50","25.50","25.40","25.40"
"Vagit Alekperov",80,"male","Russia","23.70","26.50","28.60","28.60","28.60","28.60","28.60","27.30","26.50","26.50","26.50","26.50"
"Ray Dalio",81,"male","USA","15.40","15.40","15.40","15.40","15.40","15.40","15.40","15.40","14.00","14.00","14.00","14.00"
"Eric Li",82,"male","China","15.10","17.40","17.70","15.90","14.30","12.80","11.30","12.60","17.30","15.70","15.50","15.90"
"Wang Wenyin",83,"male","China","5.50","5.80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Eyal Ofer",84,"male","Monaco","21.90","21.90","24.10","24.20","24.70","24.90","26.00","25.60","25.80","26.30","25.90","25.80"
"Qin Yinglin",85,"male","China","14.20","15.30","17.00","17.10","18.40","17.00","17.10","15.50","18.70","17.40","16.00","15.10"
"Wang Chuanfu",86,"male","China","12.70","14.40","15.20","16.30","17.10","18.50","18.30","18.90","23.60","22.20","20.50","20.90"
"Harold Hamm",87,"male","USA","25.20","21.90","18.50","18.50","18.50","18.50","18.50","22.50","18.50","18.50","18.50","18.50"
"David Tepper",88,"male","USA","20.60","20.60","20.60","20.60","20.60","20.60","20.60","20.60","21.30","21.30","21.30","21.30"
"Gennady Timchenko",89,"male","Russia","25.00","25.00","23.40","23.40","23.40","23.40","23.40","24.40","23.40","23.40","23.40","23.90"
"Daniel Gilbert",90,"male","USA","25.90","26.00","28.90","25.50","27.90","27.60","31.30","36.10","32.40","28.00","26.10","21.50"
"Lakshmi Mittal",91,"male","UK","17.00","16.40","16.90","16.10","16.40","15.20","15.10","15.50","16.70","16.00","16.30","15.50"
"Steve Cohen",92,"male","USA","19.80","19.80","19.80","19.80","19.80","19.80","19.80","19.80","21.30","21.30","21.30","21.30"
"Carl Icahn",93,"male","USA","6.00","6.60","5.50","5.80","5.40","5.40","5.80","5.90","6.00","5.60","5.00","4.00"
"Savitri Jindal",94,"female","India","29.50","30.40","33.40","36.20","37.90","41.20","40.60","40.40","43.50","39.90","39.30","38.20"
"Donald Bren",95,"male","USA","18.00","18.00","18.00","18.00","18.00","18.00","18.00","18.00","18.90","18.90","18.90","18.90"
"John Menard Jr",96,"male","USA","23.50","24.90","25.20","22.80","22.00","22.40","23.20","23.30","22.90","22.90","26.00","23.60"
"Rupert Murdoch",97,"male","USA","18.50","19.20","20.40","19.60","19.90","19.70","19.80","20.60","20.90","20.00","22.70","22.50"
"Theo Albrecht jr",98,"male","Germany","13.90","14.20","14.10","13.40","14.00","13.40","13.80","14.60","14.60","14.60","14.10","13.70"
"Renata Kellnerova",99,"female","Czech Republic","16.60","16.50","17.80","17.60","17.80","17.60","17.80","18.30","18.50","17.90","17.50","17.20"
"Li Xiting",100,"male","China","14.00","14.90","14.50","15.60","14.90","14.90","13.40","13.40","15.60","14.10","13.60","13.20"
"Stefan Persson",101,"male","Sweden","17.10","17.00","18.10","18.00","18.90","17.80","17.50","17.80","18.70","17.00","16.40","16.20"
"Eric Schmidt",102,"male","USA","20.70","20.30","22.30","23.70","24.70","25.80","24.60","21.40","23.20","23.70","23.50","25.70"
"Michael Platt",103,"male","Switzerland","16.00","16.00","18.00","18.00","18.00","18.00","18.00","18.00","18.00","18.00","18.00","18.00"
"Pang Kang",104,"male","China","7.20","9.00","8.60","8.50","7.50","7.10","7.30","8.00","11.60","10.10","10.40","10.50"
"Karl Albrecht jr",105,"male","Germany","15.70","16.00","15.90","15.10","15.80","15.10","15.60","16.50","16.50","16.40","15.90","15.40"
"Beate Heister",106,"female","Germany","15.70","16.00","15.90","15.10","15.80","15.10","15.60","16.50","16.50","16.40","15.90","15.40"
"Jorge Paulo Lemann",107,"male","Switzerland","16.40","16.00","16.20","16.00","16.20","15.40","15.70","16.00","17.00","15.70","14.60","13.80"
"Peter Woo",108,"male","China","13.70","15.50","14.60","14.30","13.50","12.80","12.30","12.70","14.30","13.40","12.70","12.70"
"Dilip Shanghvi",109,"male","India","23.70","26.10","26.70","24.60","24.00","25.10","28.30","29.90","31.60","30.00","28.80","29.90"
"Robert Pera",110,"male","USA","6.90","6.40","6.30","5.90","7.50","7.60","9.40","10.00","11.20","13.20","16.80","16.30"
"Radhakishan Damani",111,"male","India","16.90","17.50","20.00","20.30","19.10","20.90","21.70","21.70","22.50","17.40","16.40","15.60"
"Huang Shilin",112,"male","China","9.80","10.90","12.60","13.40","13.10","11.90","12.30","12.40","17.40","16.70","17.40","17.60"
"Dhanin Chearavanont",113,"male","Thailand","11.60","12.20","11.90","12.30","13.00","12.20","12.20","13.20","15.70","15.30","14.40","14.70"
"David Green",114,"male","USA","15.10","16.10","13.70","13.60","14.10","14.30","14.40",NULL,NULL,NULL,NULL,NULL
"Charoen Sirivadhanabhakdi",115,"male","Thailand","11.10","10.50","11.00","11.00","10.50","9.60","10.70","11.70","12.90","12.10","12.20","11.90"
"Charlene de Carvalho-Heineken",116,"female","UK","14.20","13.30","14.30","14.30","14.40","14.00","13.30","13.60","13.70","12.80","11.90","11.40"
"Xu Hang",117,"male","China","8.80","9.40","9.10","9.80","9.40","9.30","8.40","8.60","9.90","9.00","8.70","8.50"
"Wei Jianjun",118,"male","China","9.80","11.30","11.00","12.40","12.30","12.00","11.30","11.30","14.80","12.80","12.50","12.50"
"Alisher Usmanov",119,"male","Russia","14.30","14.40","13.50","13.60","13.60","13.60","13.60","13.90","13.90","14.10","14.20","14.50"
"Goh Cheng Liang",120,"male","Singapore","13.10","12.10","11.80","10.90","11.30","11.00","10.50","10.80","12.80","12.70","11.50","11.10"
"Kumar Birla",121,"male","India","19.90","19.20","19.80","21.70","22.00","23.70","23.80","23.60","24.80","23.30","22.70","21.20"
"Aliko Dangote",122,"male","Nigeria","16.60","13.50","15.10","14.10","13.60","13.40","12.40","11.90","11.60","11.20","11.10","11.50"
"Kwong Siu-hing",123,"female","China","11.40","12.10","11.70","11.40","11.70","10.90","10.90","11.80","12.80","12.70","12.00","12.50"
"Idan Ofer",124,"male","UK","14.90","15.60","15.80","18.30","19.80","19.40","17.40","16.90","17.00","16.90","17.00","17.10"
"Chen Bang",125,"male","China","7.40","8.50","7.50","7.50","7.10","6.10","6.60","5.90","9.50","8.60","8.50","7.70"
"Lui Che Woo",126,"male","China","12.10","12.00","11.20","10.30","10.80","10.50","9.70","9.10","11.20","10.20",NULL,NULL
"John Fredriksen",127,"male","UK","14.10","16.30","16.70","16.80","17.30","16.90","16.60","16.60","16.60","16.00","15.70","15.30"
"Diane Hendricks",128,"female","USA","22.10","23.10","20.90","20.90","20.90","20.90","20.90","21.90","21.90","21.90","21.90","21.90"
"Jan Koum",129,"male","USA","16.00","16.00","16.00","15.80","15.90","16.10","16.00","16.10","16.30","16.00","16.30","16.40"
"Jerry Jones",130,"male","USA","13.60","13.80","13.90","14.10","14.40","14.10","13.90","15.20","15.30","15.00","16.20","16.70"
"George Kaiser",131,"male","USA","14.40","14.50","14.80","14.80","15.00","15.20","15.90","14.80","15.10","15.50","16.60","16.00"
"Joseph Lau",132,"male","China","13.10","13.10","13.10","13.10","13.20","13.20","13.20","13.20","13.20","13.20","13.20","13.20"
"Lu Xiangyang",133,"male","China","10.40","11.70","12.30","13.00","13.60","14.60","14.50","14.90","18.10","17.00","15.80","16.00"
"Harry Triguboff",134,"male","Australia","16.30","16.20","16.30","16.30","16.50","16.60","16.30","16.90","17.30","16.40","16.20","15.50"
"Uday Kotak",135,"male","India","13.80","13.00","13.40","12.40","12.80","13.50","13.50","13.30","14.10","13.20","13.40","13.30"
"Stanley Kroenke",136,"male","USA","15.70","15.70","16.20","16.20","16.20","16.20","16.20","16.20","16.90","16.90","16.90","16.90"
"Mikhail Fridman",137,"male","UK","12.90","12.70","13.10","13.20","13.30","13.30","13.30","13.60","13.30","13.30","13.30","13.50"
"Sarath Ratanavadi",138,"male","Thailand","10.30","10.00","10.20","9.20","9.30","9.50","11.50","12.90","15.60","17.10","15.20","15.10"
"Dang Yanbao",139,"male","China","11.80","13.10","13.80","13.90","13.80","14.40","12.90","13.50","15.20","14.00","13.90","14.30"
"Jiang Rensheng",140,"male","China","9.80","11.50","10.10","8.30","7.90","6.80","7.00","6.00","8.20","7.20","7.20","6.60"
"Shahid Khan",141,"male","USA","11.80","11.80","12.20","12.10","12.00","11.90","12.00","12.10","13.30","13.30","13.60","13.30"
"Laurene Powell Jobs",142,"female","USA","13.40","13.30","12.90","12.80","13.70","14.50","15.00","15.10","15.30","15.00","15.60","16.10"
"Robert Kuok",143,"male","China","10.10","11.00","11.40","11.90","12.00","11.80","11.70","11.90","12.50","12.00","11.70","11.60"
"Stephen Ross",144,"male","USA","10.10","10.10","10.10","10.10","10.10","10.10","10.10","16.70","17.00","17.00","17.00","17.00"
"Pavel Durov",145,"male","United Arab Emirates","11.50","11.50","15.50","15.50","15.50","15.50","15.50","15.50","15.50","15.50","15.50","15.50"
"Andreas Struengmann",146,"male","Germany","9.60","9.70","9.80","9.60","10.30","9.20","9.50","9.60","11.20","10.90","11.20","10.90"
"Thomas Struengmann",147,"male","Germany","9.60","9.70","9.80","9.60","10.30","9.20","9.50","9.60","11.20","10.90","11.20","10.90"
"Liu Hanyuan",148,"male","China","7.80","8.50","8.00","7.10","7.50","6.40","6.20","6.60","8.50","10.50","9.50","8.00"
"Michael Rubin",149,"male","USA","11.50","11.50","11.50","11.50","11.50","11.50","11.50","11.50","10.60","10.60","10.60","10.60"
"Israel Englander",150,"male","USA","11.80","11.80","12.40","12.40","12.40","12.40","12.40","12.40","14.20","14.20","14.20","14.20"
"Viatcheslav Kantor",151,"male","UK","9.80","9.80","9.80","9.80","9.80","9.80","9.80","10.20","9.80","9.80","9.80","9.80"
"Anthony Pratt",152,"male","Australia","10.10","10.40","10.60","10.50","10.70","10.20","10.60","11.20","11.20","11.10","11.60","9.80"
"Mikhail Prokhorov",153,"male","Russia","11.00","10.90","11.00","11.00","11.00","11.00","11.00","11.00","11.00","11.00","11.00","11.00"
"Giorgio Armani",154,"male","Italy","12.80","13.40","11.20","11.50","12.00","11.90","12.00","13.20","13.30","13.00","12.60","12.00"
"Johann Rupert",155,"male","South Africa","11.10","11.80","11.20","10.40","11.80","11.60","11.30","11.80","11.90","11.00","10.60","11.30"
"Gong Hongjia",156,"male","China","9.70","10.30","9.80","10.00","9.90","9.60","9.40","9.20","10.30","9.90","9.70","9.70"
"Zhang Zhidong",157,"male","China","9.60","9.60","10.40","11.70","12.10","12.40","12.10","12.80","14.40","13.30","13.00","13.50"
"Judy Love",158,"female","USA","10.20","10.20","10.20","10.20","11.60","11.60","11.60","11.60","13.10","13.10","13.10","13.10"
"Ricardo Salinas Pliego",159,"male","Mexico","13.20","13.50","13.50","12.70","12.70","11.50","10.30","9.80","9.90","9.60","9.40","4.70"
"Donald Newhouse",160,"male","USA","11.50","11.10","11.10","10.60","11.00","11.10","12.70","12.20","12.10","13.20","14.60","14.60"
"Marcel Herrmann Telles",161,"male","Brazil","11.00","10.80","10.90","10.70","10.80","10.30","10.50","10.60","11.20","10.40","9.90","9.40"
"Suleiman Kerimov",162,"male","Russia","10.70","10.70","10.70","10.70","10.70","10.70","10.70","11.20","10.70","10.70","10.70","10.70"
"Sky Xu",163,"male","China","11.20","11.20","11.20","11.20","11.20","11.20","11.20","11.20","9.10","9.10","9.10","9.10"
"Changpeng Zhao",164,"male","Taiwan","15.00","15.00","33.00","33.00","33.00","60.20","59.80","58.30","61.10","61.10","63.70","66.30"
"Andrew Beal",165,"male","USA","14.90","14.80","11.50","11.70","11.70","11.60","12.80","12.00","12.00","12.00","13.00","12.40"
"Mike Cannon-Brookes",166,"male","Australia","13.70","13.20","12.50","11.40","10.70","11.70","11.70","11.20","10.90","12.30","16.20","15.30"
"Carl Cook",167,"male","USA","10.30","10.50","10.60","10.20","10.10","10.20","10.40","10.70","10.70","10.70","10.70","10.30"
"David Duffield",168,"male","USA","15.70","15.70","14.50","13.20","11.80","12.30","12.50","14.30","13.50","13.10","13.80","14.10"
"Jeffery Hildebrand",169,"male","USA","12.10","12.60","12.60","14.60","13.30","13.30","13.10","10.80","7.60","7.60","7.50","7.20"
"Viktor Rashnikov",170,"male","Russia","10.50","10.50","10.60","10.60","10.60","10.60","10.60","11.00","10.60","10.60","10.60","10.60"
"Eduardo Saverin",171,"male","Singapore","26.30","27.10","26.90","23.90","25.90","27.90","26.30","28.70","31.40","31.10","31.50","32.40"
"Georg Schaeffler",172,"male","Germany","10.10","11.30","10.50","9.60","10.00","8.90","9.20","9.60","9.40","9.10","9.10","9.10"
"Christy Walton",173,"female","USA","12.00","13.40","13.70","13.50","14.70","14.90","15.10","16.40","17.00","17.10","18.70","18.30"
"Scott Farquhar",174,"male","Australia","13.50","12.90","12.30","11.10","10.30","11.40","11.40","10.80","10.40","12.00","15.90","14.90"
"Quek Leng Chan",175,"male","Malaysia","9.90","9.90","8.80","8.70","8.80","8.80","8.90","9.30","9.50","9.20","9.10","9.00"
"Wu Yajun",176,"female","China","5.60","6.00","6.40","6.70","6.90","6.30","6.10","5.80","8.30","7.40","6.70","6.30"
"Autry Stephens",177,"male","USA","14.80","24.30","24.30","24.30","24.30","24.30","24.30",NULL,NULL,NULL,NULL,NULL
"Liu Yongxing",178,"male","China","10.00","9.90","9.90","9.90","9.90","9.80","9.90","10.10","10.20","11.30","11.10","11.00"
"Vinod Adani",179,"male","Cyprus","25.40","27.00","22.40","24.20","27.80","27.50","28.60","25.10","25.80","22.70","18.70","18.20"
"Nicolas Puech",180,"male","Switzerland","13.60","15.50","15.80","14.90","14.60","14.20","13.50","14.80","15.20","13.90","13.50","14.90"
"Jacques Saade Jr",181,"male","France","9.80","9.80","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90"
"Rodolphe Saade",182,"male","France","9.80","9.80","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90"
"Tanya Saade Zeenny",183,"female","France","9.80","9.80","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90","8.90"
"Melker Schorling",184,"male","Sweden","10.70","11.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andrei Guryev",185,"male","Russia","9.40","9.40","9.30","9.30","9.30","9.30","9.30","9.60","9.30","9.30","9.30","9.30"
"Michael Kim",186,"male","South Korea","9.60","9.60","9.70","9.70","9.70","9.70","9.70","9.60","9.60","9.60","9.60","9.60"
"Lei Jun",187,"male","China","10.20","11.00","12.40","14.30","14.40","13.60","13.80","15.90","18.50","21.50","22.50","27.80"
"Friedhelm Loh",188,"male","Germany","9.80","10.50","10.50","10.40","10.50","10.40","10.50","10.80","10.90","10.60","10.30","10.10"
"Sun Piaoyang",189,"male","China","7.60","9.00","9.60","9.60","8.80","8.10","8.80","9.40","11.20","9.80","10.50","9.50"
"Rick Cohen",190,"male","USA","21.90","17.60","19.80","17.30","17.70","16.00","12.80","10.40","12.50","13.80","13.50","12.30"
"Jin Baofang",191,"male","China","3.70","4.10","3.80","3.10","3.30","2.50","2.40","2.20","3.10","4.30","3.80","3.00"
"Luo Liguo",192,"male","China","4.00","5.00","4.60","4.50","5.00","4.30","4.40","4.70","6.00","5.80","5.70","5.30"
"Marijke Mars",193,"female","USA","10.00","9.70","9.60","9.80","9.60","9.50","9.70","11.90","11.90","11.90","11.50","10.80"
"Pamela Mars",194,"female","USA","10.00","9.70","9.60","9.80","9.60","9.50","9.70","11.90","11.90","11.90","11.50","10.80"
"Valerie Mars",195,"female","USA","10.00","9.70","9.60","9.80","9.60","9.50","9.70","11.90","11.90","11.90","11.50","10.80"
"Victoria Mars",196,"female","USA","10.00","9.70","9.60","9.80","9.60","9.50","9.70","11.90","11.90","11.90","11.50","10.80"
"Vincent Bollore",197,"male","France","10.10","9.60","10.60","9.80","10.40","8.80","9.60","10.30","11.00","10.40","10.10","10.20"
"Jim Pattison",198,"male","Canada","9.80","9.70","9.30","9.10","9.10","9.00","9.10","9.20","9.40","9.10","9.10","8.70"
"Ernesto Bertarelli",199,"male","Switzerland","9.50","9.50","11.10","11.10","11.10","11.10","11.10","11.20","11.10","11.10","11.00","11.00"
"Wang Xing",200,"male","China","6.80","9.00","9.20","9.70","9.00","9.30","9.20","9.90","13.80","14.50","13.30","12.20"
"Brian Chesky",201,"male","USA","10.00","10.80","11.00","10.60","9.70","10.10","9.30","8.10","8.70","9.20","9.30","9.00"
"James Dyson",202,"male","UK","9.70","9.70","13.30","13.20","13.40","13.40","13.50","13.90","14.10","13.70","13.40","13.20"
"Roman Abramovich",203,"male","Russia","9.00","9.70","9.70","9.70","9.70","9.70","9.70","9.90","9.70","9.70","9.70","9.70"
"Antonia Axson Johnson",204,"female","Sweden","9.90","10.10","10.00","9.50","9.80","9.70","9.40","10.00","10.20","9.20","8.90","8.80"
"Daniel Kretinsky",205,"male","Czech Republic","9.30","9.30","9.30","9.20","9.30","9.20","9.30","9.50","9.60","9.30","9.10","8.90"
"John Malone",206,"male","USA","10.00","9.90","9.80","9.60","9.60","9.60","9.90","10.70","10.80","10.80","10.80","10.70"
"Azim Premji",207,"male","India","11.90","12.00","11.80","11.70","11.60","11.90","11.90","12.00","12.20","12.20","12.30","12.30"
"Charles Schwab",208,"male","USA","9.40","9.70","10.30","10.50","10.40","10.40","9.60","9.90","9.90","10.50","11.70","10.80"
"Eric Smidt",209,"male","USA","11.00","11.60","11.70","10.70","10.30","10.50","11.20","15.60","15.60","15.60","15.60","15.60"
"David Cheriton",210,"male","USA","12.90","12.70","13.40","13.50","14.40","15.50","15.00","14.70","15.20","15.40","15.60","16.90"
"Ivan Glasenberg",211,"male","Switzerland","8.40","7.80","9.30","11.30","11.60","11.10","10.80","10.50","11.10","10.50","10.00","9.50"
"Alexander Otto",212,"male","Germany","9.20","9.00","8.70","8.70","9.00","8.80","9.10","10.40","10.50","9.30","8.80","8.40"
"Anthony von Mandl",213,"male","Canada","9.40","9.30","7.70","7.50","6.90","7.00","6.80","6.80","6.80","6.80","6.80","6.30"
"Wang Liping",214,"female","China","6.60","7.60","6.70","6.80","6.70","6.30","6.20","7.00","8.60","7.10","7.20","7.10"
"Finn Rausing",215,"male","UK","8.60","9.10","7.20","7.00","7.20","7.10","7.20","7.40","7.50","7.30","7.00","6.80"
"Jorn Rausing",216,"male","UK","8.60","9.10","7.20","7.00","7.20","7.00","7.20","7.40","7.50","7.30","7.00","6.80"
"Kirsten Rausing",217,"female","UK","8.60","9.10","7.20","7.00","7.20","7.00","7.20","7.40","7.50","7.30","7.00","6.80"
"Tatyana Bakalchuk",218,"female","Russia","7.00","7.00","7.40","7.40","7.40","7.40","7.40","7.90","4.10","4.10","4.10","4.10"
"John Doerr",219,"male","USA","11.90","11.90","12.50","12.80","13.20","14.00","13.40","12.80","13.00","13.30","13.80","15.00"
"Richard Liu",220,"male","China","4.30","4.40","5.20","5.50","5.60","5.00","5.10","5.20","7.40","7.50","7.00","6.50"
"Dustin Moskovitz",221,"male","USA","17.20","17.90","17.30","15.60","16.50","17.70","16.90","14.30","15.10","15.00","15.60","16.50"
"Pierre Omidyar",222,"male","USA","6.40","6.30","6.50","6.50","6.40","6.30","6.50","6.30","10.20","9.90","10.30","10.20"
"Pei Zhenhua",223,"male","China","5.40","6.10","6.80","7.30","7.10","6.40","6.60","6.70","9.60","9.20","9.70","9.60"
